trial_id,timestamp,run_label,seed,arm,trial_number,learning_rate,init_method,steps_to_threshold
1,2026-09-01 13:22:49,gate3b_restricted_search,105,reference,0,0.004430375245218269,xavier,269.0
2,2026-09-01 13:22:50,gate3b_restricted_search,105,reference,1,0.0018662266976517971,orthogonal,361.0
3,2026-09-01 13:22:50,gate3b_restricted_search,105,reference,2,0.07780155576901421,he,273.0
4,2026-09-01 13:22:50,gate3b_restricted_search,105,reference,3,0.005059803874660437,xavier,210.0
5,2026-09-01 13:22:51,gate3b_restricted_search,105,reference,4,0.00011498870747119459,orthogonal,1600.0
6,2026-09-01 13:22:52,gate3b_restricted_search,105,reference,5,0.08626905220714905,xavier,786.0
7,2026-09-01 13:22:52,gate3b_restricted_search,105,reference,6,0.00022637229697395497,orthogonal,1600.0
8,2026-09-01 13:22:53,gate3b_restricted_search,105,reference,7,0.0036774346621052147,orthogonal,280.0
9,2026-09-01 13:22:53,gate3b_restricted_search,105,reference,8,0.0023358825194833557,orthogonal,344.0
10,2026-09-01 13:22:53,gate3b_restricted_search,105,reference,9,0.006859416411328701,he,165.0
11,2026-09-01 13:22:53,gate3b_restricted_search,105,reference,10,0.019907506982928588,he,124.0
12,2026-09-01 13:22:54,gate3b_restricted_search,105,reference,11,0.020814104803987817,he,119.0
13,2026-09-01 13:22:54,gate3b_restricted_search,105,reference,12,0.021644937500336026,he,119.0
14,2026-09-01 13:22:54,gate3b_restricted_search,105,reference,13,0.020527514539894275,he,124.0
15,2026-09-01 13:22:54,gate3b_restricted_search,105,reference,14,0.021178889448851296,he,119.0
16,2026-09-01 13:22:55,gate3b_restricted_search,105,reference,15,0.000694465168883101,he,1600.0
17,2026-09-01 13:22:55,gate3b_restricted_search,105,reference,16,0.011599421468819674,he,165.0
18,2026-09-01 13:22:55,gate3b_restricted_search,105,reference,17,0.0385998309482012,he,130.0
19,2026-09-01 13:22:55,gate3b_restricted_search,105,reference,18,0.042140601439425406,he,123.0
20,2026-09-01 13:22:55,gate3b_restricted_search,105,reference,19,0.010284672764162348,he,165.0
21,2026-09-01 13:22:56,gate3b_restricted_search,105,reference,20,0.0009712798508231742,xavier,1600.0
22,2026-09-01 13:22:56,gate3b_restricted_search,105,reference,21,0.019944093242273486,he,124.0
23,2026-09-01 13:22:56,gate3b_restricted_search,105,reference,22,0.04589899866247784,he,133.0
24,2026-09-01 13:22:56,gate3b_restricted_search,105,reference,23,0.011855144358031231,he,165.0
25,2026-09-01 13:22:57,gate3b_restricted_search,105,reference,24,0.02590845460307929,he,130.0
26,2026-09-01 13:22:57,gate3b_restricted_search,105,reference,25,0.009263396141036433,he,165.0
27,2026-09-01 13:22:57,gate3b_restricted_search,105,reference,26,0.05216046206469252,he,321.0
28,2026-09-01 13:22:57,gate3b_restricted_search,105,reference,27,0.014073534254354876,he,145.0
29,2026-09-01 13:22:57,gate3b_restricted_search,105,reference,28,0.029884139767470782,xavier,123.0
30,2026-09-01 13:22:57,gate3b_restricted_search,105,reference,29,0.029070152298153844,xavier,100.0
31,2026-09-01 13:22:58,gate3b_restricted_search,105,reference,30,0.09865659655619732,xavier,188.0
32,2026-09-01 13:22:58,gate3b_restricted_search,105,reference,31,0.031064514245774826,xavier,123.0
33,2026-09-01 13:22:58,gate3b_restricted_search,105,reference,32,0.05598454615418031,xavier,133.0
34,2026-09-01 13:22:58,gate3b_restricted_search,105,reference,33,0.016049539517704863,xavier,147.0
35,2026-09-01 13:22:58,gate3b_restricted_search,105,reference,34,0.005428357124592598,xavier,210.0
36,2026-09-01 13:22:58,gate3b_restricted_search,105,reference,35,0.02996260180444567,xavier,134.0
37,2026-09-01 13:22:59,gate3b_restricted_search,105,reference,36,0.06239301656989437,xavier,170.0
38,2026-09-01 13:22:59,gate3b_restricted_search,105,reference,37,0.006150417216518726,xavier,210.0
39,2026-09-01 13:22:59,gate3b_restricted_search,105,reference,38,0.003703558350944436,xavier,280.0
40,2026-09-01 13:23:00,gate3b_restricted_search,105,reference,39,0.06908393773652001,orthogonal,423.0
41,2026-09-01 13:23:00,gate3b_restricted_search,105,cold,0,0.0017826497151386949,xavier,525.0
42,2026-09-01 13:23:01,gate3b_restricted_search,105,cold,1,0.0002755926764027377,orthogonal,1600.0
43,2026-09-01 13:23:01,gate3b_restricted_search,105,cold,2,0.0015498955191377143,orthogonal,525.0
44,2026-09-01 13:23:02,gate3b_restricted_search,105,cold,3,0.00041054120168588934,xavier,1600.0
45,2026-09-01 13:23:03,gate3b_restricted_search,105,cold,4,0.001786135519762597,xavier,525.0
46,2026-09-01 13:23:03,gate3b_restricted_search,105,cold,5,0.025248390936171015,xavier,100.0
47,2026-09-01 13:23:03,gate3b_restricted_search,105,cold,6,0.04257625486011382,xavier,188.0
48,2026-09-01 13:23:04,gate3b_restricted_search,105,cold,7,0.0003232148147351276,xavier,1600.0
49,2026-09-01 13:23:04,gate3b_restricted_search,105,cold,8,0.07475987911298648,he,255.0
50,2026-09-01 13:23:04,gate3b_restricted_search,105,cold,9,0.011468398705751582,xavier,154.0
51,2026-09-01 13:23:04,gate3b_restricted_search,105,cold,10,0.014576193863035302,he,145.0
52,2026-09-01 13:23:05,gate3b_restricted_search,105,cold,11,0.012710606512951533,he,198.0
53,2026-09-01 13:23:05,gate3b_restricted_search,105,cold,12,0.01307460150352353,he,154.0
54,2026-09-01 13:23:05,gate3b_restricted_search,105,cold,13,0.02617075331193701,he,157.0
55,2026-09-01 13:23:05,gate3b_restricted_search,105,cold,14,0.007277381843354179,he,165.0
56,2026-09-01 13:23:06,gate3b_restricted_search,105,informed_restricted,0,0.0017826497151386949,xavier,525.0
57,2026-09-01 13:23:06,gate3b_restricted_search,105,informed_restricted,1,0.01448683388723935,xavier,150.0
58,2026-09-01 13:23:06,gate3b_restricted_search,105,informed_restricted,2,0.00010007903854383786,xavier,1600.0
59,2026-09-01 13:23:07,gate3b_restricted_search,105,informed_restricted,3,0.0008072307884499761,xavier,1600.0
60,2026-09-01 13:23:08,gate3b_restricted_search,105,informed_restricted,4,0.0002755926764027377,xavier,1600.0
61,2026-09-01 13:23:08,gate3b_restricted_search,105,informed_restricted,5,0.00018924123965722266,xavier,1600.0
62,2026-09-01 13:23:09,gate3b_restricted_search,105,informed_restricted,6,0.0003620600725744741,xavier,1600.0
63,2026-09-01 13:23:10,gate3b_restricted_search,105,informed_restricted,7,0.001088133500363589,xavier,1600.0
64,2026-09-01 13:23:11,gate3b_restricted_search,105,informed_restricted,8,0.0015498955191377143,xavier,525.0
65,2026-09-01 13:23:11,gate3b_restricted_search,105,informed_restricted,9,0.00413475900783472,xavier,343.0
66,2026-09-01 13:23:11,gate3b_restricted_search,105,informed_restricted,10,0.09290791998691832,xavier,548.0
67,2026-09-01 13:23:12,gate3b_restricted_search,105,informed_restricted,11,0.011930383561222451,xavier,154.0
68,2026-09-01 13:23:12,gate3b_restricted_search,105,informed_restricted,12,0.016535107145461723,xavier,147.0
69,2026-09-01 13:23:12,gate3b_restricted_search,105,informed_restricted,13,0.022446911961699983,xavier,119.0
70,2026-09-01 13:23:12,gate3b_restricted_search,105,informed_restricted,14,0.05068980043440563,xavier,403.0
71,2026-09-01 13:23:13,gate3b_restricted_search,105,universal_restricted,0,0.0017826497151386949,xavier,525.0
72,2026-09-01 13:23:13,gate3b_restricted_search,105,universal_restricted,1,0.01448683388723935,xavier,150.0
73,2026-09-01 13:23:14,gate3b_restricted_search,105,universal_restricted,2,0.00010007903854383786,xavier,1600.0
74,2026-09-01 13:23:14,gate3b_restricted_search,105,universal_restricted,3,0.0008072307884499761,xavier,1600.0
75,2026-09-01 13:23:15,gate3b_restricted_search,105,universal_restricted,4,0.0002755926764027377,xavier,1600.0
76,2026-09-01 13:23:16,gate3b_restricted_search,105,universal_restricted,5,0.00018924123965722266,xavier,1600.0
77,2026-09-01 13:23:16,gate3b_restricted_search,105,universal_restricted,6,0.0003620600725744741,xavier,1600.0
78,2026-09-01 13:23:17,gate3b_restricted_search,105,universal_restricted,7,0.001088133500363589,xavier,1600.0
79,2026-09-01 13:23:18,gate3b_restricted_search,105,universal_restricted,8,0.0015498955191377143,xavier,525.0
80,2026-09-01 13:23:18,gate3b_restricted_search,105,universal_restricted,9,0.00413475900783472,xavier,343.0
81,2026-09-01 13:23:19,gate3b_restricted_search,105,universal_restricted,10,0.09290791998691832,xavier,548.0
82,2026-09-01 13:23:19,gate3b_restricted_search,105,universal_restricted,11,0.011930383561222451,xavier,154.0
83,2026-09-01 13:23:19,gate3b_restricted_search,105,universal_restricted,12,0.016535107145461723,xavier,147.0
84,2026-09-01 13:23:19,gate3b_restricted_search,105,universal_restricted,13,0.022446911961699983,xavier,119.0
85,2026-09-01 13:23:20,gate3b_restricted_search,105,universal_restricted,14,0.05068980043440563,xavier,403.0
86,2026-09-01 13:23:20,gate3b_restricted_search,112,reference,0,0.004430375245218269,xavier,89.0
87,2026-09-01 13:23:20,gate3b_restricted_search,112,reference,1,0.0018662266976517971,orthogonal,104.0
88,2026-09-01 13:23:20,gate3b_restricted_search,112,reference,2,0.07780155576901421,he,77.0
89,2026-09-01 13:23:20,gate3b_restricted_search,112,reference,3,0.005059803874660437,xavier,79.0
90,2026-09-01 13:23:21,gate3b_restricted_search,112,reference,4,0.00011498870747119459,orthogonal,1600.0
91,2026-09-01 13:23:21,gate3b_restricted_search,112,reference,5,0.08626905220714905,xavier,41.0
92,2026-09-01 13:23:21,gate3b_restricted_search,112,reference,6,0.00022637229697395497,orthogonal,545.0
93,2026-09-01 13:23:22,gate3b_restricted_search,112,reference,7,0.0036774346621052147,orthogonal,79.0
94,2026-09-01 13:23:22,gate3b_restricted_search,112,reference,8,0.0023358825194833557,orthogonal,104.0
95,2026-09-01 13:23:22,gate3b_restricted_search,112,reference,9,0.006859416411328701,he,89.0
96,2026-09-01 13:23:22,gate3b_restricted_search,112,reference,10,0.07162629642639848,xavier,41.0
97,2026-09-01 13:23:22,gate3b_restricted_search,112,reference,11,0.07216635702812188,xavier,28.0
98,2026-09-01 13:23:22,gate3b_restricted_search,112,reference,12,0.02365310875574803,xavier,64.0
